id,title,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,category,propertySize,longitude,latitude,sellerId,seller_name,seller_branch,sellerType,m_totalImages,m_hasVideo,m_hasVirtualTour,m_hasBrochure,ber_rating,AMV_price
3187467,"Cluain Cairn, Station Road, Carrigtwohill, Co. Cork",basic,2022-01-28,480000,4,1,Houses,New Homes,,-8.2614181366977,51.91479803669321,1196,Sean Mc Carthy,ERA Downey McCarthy,BRANDED_AGENT,8.0,False,False,False,A3,0
1466390,"Sandyford Green, Sandyford, Dublin 18",basic,2022-02-07,925000,5,1,Houses,New Homes,,-6.227660279701695,53.270671655684154,4219,Jeremy Kelly,Kelly Walsh,UNBRANDED_AGENT,15.0,False,False,False,A2,0
3629551,"Farnan Wood, Downings North, Prosperous, Co. Kildare",basic,2021-11-29,395000,4,1,Houses,New Homes,,-6.761855838228996,53.28794580039437,737,Coonan Naas,Coonan Property,UNBRANDED_AGENT,8.0,False,False,False,A2,0
3620653,"Nephin Road, Nephin Road Dublin 7, Dublin 7",basic,2021-11-20,795000,4,1,Houses,New Homes,,-6.309183627368327,53.36424453776485,3112,Jim O'Connell,O'Connell Properties,UNBRANDED_AGENT,2.0,False,False,False,XXX,0
3549884,"The Shelby, The Gallops, Clonee, Dublin 15, Clonee, Dublin 15",basic,2022-02-01,935000,5,1,Houses,New Homes,,-6.44504361496945,53.40096584108238,7490,John Newcombe MIPAV 002173,Newcombe Estates,BRANDED_AGENT,9.0,True,False,False,A2,0
3549899,"The Shelby, The Gallops, Clonee, Co Meath , Clonee, Co. Meath",basic,2022-02-01,935000,5,1,Houses,New Homes,,-6.445523423978727,53.40071935328481,7490,John Newcombe MIPAV 002173,Newcombe Estates,BRANDED_AGENT,9.0,True,False,False,A2,0
3549913,"The Sheldon, The Gallops, Clonee, Co Meath , Clonee, Co. Meath",basic,2022-02-01,925000,5,1,Houses,New Homes,,-6.445330006151863,53.400776354235916,7490,John Newcombe MIPAV 002173,Newcombe Estates,BRANDED_AGENT,9.0,True,False,False,A2,0
3605161,"The Charleston Town Homes, Ranelagh, Dublin 6",basic,2022-02-07,2500000,4,1,Houses,New Homes,,-6.259709840972818,53.32348536493012,262,Michael McDonagh,Youngs Estate Agents,BRANDED_AGENT,21.0,True,False,False,A1,0
3559506,"Glencree, Newport, Co. Tipperary",basic,2022-01-12,250000,3,1,Houses,New Homes,,-8.402113385809514,52.7098387938814,7992,Diarmuid Madigan,M&C Property,BRANDED_AGENT,6.0,False,False,False,A3,0
3581357,"WestPoint, The Mullans, Donegal Town, Co. Donegal",basic,2021-12-28,265000,3,1,Houses,New Homes,,-8.11583688030791,54.65676885876215,3956,Rory Dorrian,DNG Dorrian,BRANDED_AGENT,23.0,False,True,False,A2,0
3170486,"Rath Wood, Prosperous, Co. Kildare",basic,2022-01-21,420000,4,1,Houses,New Homes,,-6.758857482041975,53.28800212025956,664,Gero Gannon M.I.P.A.V.,Sherry FitzGerald Reilly,BRANDED_AGENT,4.0,False,False,False,A2,0
3573943,"Cluain Na Greine, Clonygowan , Clonygowan, Co. Offaly",basic,2022-02-07,280000,3,1,Houses,New Homes,,-7.280019860231278,53.18709585250747,8741,"Karen O'Brien, Auctioneer.",Elite Estate Agents,BRANDED_AGENT,2.0,False,False,False,A3,0
3179404,"Greenmount Court HX, Harold's Cross, Dublin 6W",basic,2022-01-26,750000,3,1,Houses,New Homes,,-6.279269586023162,53.328054146346346,8836,Dean Lowe,DNG,BRANDED_AGENT,21.0,True,False,False,XXX,0
1121736,"Marianella , Rathgar, Dublin 6",basic,2022-02-07,950000,3,1,Houses,New Homes,,-6.269597674080501,53.3078278173606,5331,Anthony Grehan,Knight Frank,BRANDED_AGENT,10.0,False,True,False,A2,0
1117909,"Clog Na Léinn, Collinstown, Co. Westmeath",basic,2022-01-25,395000,4,1,Houses,New Homes,,-7.214773733983293,53.64777922702061,2840,Jennifer Walsh,Sherry FitzGerald Davitt & Davitt,BRANDED_AGENT,36.0,True,False,False,A1,0
3155572,"Woodstream, Coolaney, Co. Sligo",basic,2022-02-07,195000,3,1,Houses,New Homes,,-8.609738870290585,54.16614770745926,1371,David Reynolds PSPL 001017,David Reynolds Auctioneers Ltd,UNBRANDED_AGENT,13.0,False,False,False,A2,0
2917424,"Ceide Spris, Park Road, Killarney, Co. Kerry",basic,2022-01-10,385000,3,1,Houses,New Homes,,-9.500566438924864,52.06223347086572,3442,William Hennigan,William Hennigan Auctioneer,UNBRANDED_AGENT,2.0,False,False,False,A2,0
2892070,"Revington Gardens, North Circular Road, North Circular Road, Co. Limerick",basic,2022-02-07,650000,4,1,Houses,New Homes,,-8.653520213336293,52.66438584547183,2760,Rooney Auctioneers,Rooney Auctioneers -Limerick,BRANDED_AGENT,53.0,True,False,False,A2,0
2603476,"Spanish Walk at Convent Garden, Kinsale, Kinsale, Co. Cork",basic,2022-02-02,440000,3,1,Houses,New Homes,,-8.523984922066376,51.703660219144666,1577,Catherine McAuliffe,Savills Cork,BRANDED_AGENT,15.0,False,True,False,A2,0
2594870,"The Terrace, The Terrace, Foxrock, Dublin 18",basic,2022-02-07,2000000,4,1,Houses,New Homes,,-6.183774,53.267151,10019,Rena O'Kelly,Sherry FitzGerald Foxrock,BRANDED_AGENT,39.0,False,False,False,A3,0
1117985,"Martello, Martello, Rushbrooke, Cobh, Co. Cork",basic,2021-09-28,345000,4,1,Houses,New Homes,,-8.315556,51.849705,2559,Paul O'Shea,Sherry FitzGerald Cork,BRANDED_AGENT,34.0,False,False,False,A3,0
1485530,"Clog Na Léinn, Collinstown, Co. Westmeath",basic,2022-02-07,395000,4,1,Houses,New Homes,,-7.212145308026265,53.647194149836714,366,Robert Forbes,Forbes Property,BRANDED_AGENT,24.0,False,True,False,A1,0
1117980,"Castle Park, Killycard, Castleblayney, Co. Monaghan",basic,2022-01-14,269000,3,1,Houses,New Homes,,-6.753848385953688,54.115088189289196,4705,DNG John O' Brien Office,DNG John O’Brien,UNBRANDED_AGENT,14.0,True,False,False,A3,0
1118108,"SeaGreen Park, Sea, Green Park, Blacklion, Greystones, Co. Wicklow",basic,2022-01-31,545000,4,1,Houses,New Homes,,-6.086274,53.14609,9634,Jackie Horan,Sherry FitzGerald New Homes,BRANDED_AGENT,25.0,False,False,False,A2,0
1137830,"Revington Gardens, North Circular Road, North Circular Road, Co. Limerick",basic,2021-06-21,650000,4,1,Houses,New Homes,,-8.652927471760904,52.66455814019876,2299,Tom Hickey,Hickey O'Donoghue Auctioneers Ltd.,BRANDED_AGENT,38.0,False,True,False,A2,0
